Name,max_life_expectancy,good_with_children,good_with_other_dogs,good_with_strangers,playfulness,protectiveness,barking,Dog_api_id,description,popularity,temperament,grooming_frequency_category,shedding_category,energy_level_category,trainability_category,demeanor_category,size
rhodesian ridgeback,12,5,3,3,3,5,2,209,"Beneath the Ridgeback’s trademark ridge is a whole lot of hound: Ridgebacks are fast and powerful athletes who can weigh between 70 and 85 pounds, and oftentimes more. They come in only one color – wheaten – which spans every shade seen in a wheat field, from pale flaxen to the burnished red of a maturing crop. Ridgebacks also have two nose colors: black and the less commonly seen brown.The formidable Ridgeback can be strong willed, independent, and sometimes domineering. Ridgebacks must be guided with a firm but fair hand from puppyhood. They are faithful friends, protective of their loved ones and meltingly affectionate with those whom they trust. Still, a Ridgeback can be too much hound for the novice dog owner. The Rhodesian Ridgeback is an all-purpose “Renaissance hound” whose hallmark is the ridge, or stripe of backward-growing hair, on his back. Though the breed was made famous in its native Africa for its skill at tracking and baying – but never, ever killing – lions, today Ridgebacks are cherished family dogs whose owners must be prepared to deal with their independence and strong prey drive.",low,"Affectionate, Dignified, Even-Tempered",Weekly Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,medium
russian toy,14,3,3,3,4,4,4,211,"The Russian Toy is a toy breed with a lineage that dates back to the Russian aristocracy. In general, he is a good-natured imp that loves to run and play. They will dash through the house or yard chasing toys as long as you can keep up, while many others are willing to do nothing more than lounge in your lap all day long, content in knowing that they are the prize jewel in your home. They thrive on human companionship and will let you know if they are feeling neglected. Their coat is either semi-long or smooth. The longhaired variety carries a nice ruff on the chest and unique feathering on the extremities, tail and ears. Long-coated Russian Toys will not have an adult coat until it is more than a year old and full fringing not until three years of age. The smooth-coated variety is sleek and smooth to the touch. There is also a slight attitude difference between the two varieties. Smooth Coats tend to be a little more terrier-like than Long Coats. However, both share a larger-than-life personality. Club Contact DetailsClub: Russian Toy Club of AmericaName: Martha GuimondEmail: secretary@russiantoyclub.orgAddress: P.O. Box 1851, Blanco, TX 78606Phone: (210) 401-5134 The Russian Toy is a small, elegant, lively dog with long legs, fine bones and lean muscles. They are active and cheerful, possessing keen intelligence and a desire to please. This breed loves to snuggle and be close to their human companions, although sometimes slightly aloof to strangers. They are neither cowardly nor aggressive.",low,"Loyal, Smart, Charming",Weekly Brushing,Infrequent,Regular Exercise,Agreeable,Friendly,small
nova scotia duck tolling retriever,14,5,4,3,5,3,2,177,"The little gundog with the big name is the smallest AKC retriever, standing ideally 18 or 19 inches at the shoulder. The Toller’s trademark is a coat of stunning crimson, ranging from golden red to a dark coppery color, with white markings. Strong and agile, Tollers are medium dogs: medium in size, bone, and coat length. The almond-shaped eyes project an alert expression.Tollers are upbeat athletes who require outlets for their boundless vigor: hunting, hiking, camping, and, of course, swimming (for which they are ideally suited, down to their webbed feet). Tollers are smart, handsome, affectionate companions, but these red tornadoes can be recommended only to those with enough time and energy to keep them usefully occupied. The smallest of the AKC’s retrievers, the Nova Scotia Duck Tolling Retriever is intelligent, affectionate, and eager to please. Play fetch with a tireless Toller until your right arm falls off, and he will ask you to throw left-handed.",medium,"Affectionate, Intelligent, Outgoing",Weekly Brushing,Seasonal,Needs Lots of Activity,Easy Training,Friendly,small
irish terrier,15,5,1,3,3,5,3,135,"Irish Terriers are the prototype of a long-legged terrier. Standing about 18 inches at the shoulder, they’re sturdy but lithe and graceful. Every line of the body is eye-catching, and the overall picture is beautifully balanced. The tight red coat is as fiery as the breed’s temperament. ITs are a dog lover’s delight: If your heart doesn’t go pitty-pat at the sight of this Technicolor terrier framed against the vivid greens of the Irish countryside, forget dogs and buy a goldfish. The Irish Terrier, “Daredevil” of the Emerald Isle, is a bold, dashing, and courageous terrier of medium size. Known for his fiery red coat and a temperament to match, the Irish Terrier is stouthearted at work and tenderhearted at home.",high,"Bold, Dashing, Tenderhearted",Occasional Bath/Brush,unknown,Regular Exercise,Agreeable,Alert/Responsive,small
italian greyhound,15,3,5,5,4,3,3,138,"IGs are Greyhounds in miniature—more slender, but a Greyhound’s equal in grace and elegance. Standing ideally 13 to 15 inches at the shoulder, they present the sleek, curving lines common to all coursing hounds. Distinguishing features are the long, fine-boned legs.IGs combine the attentiveness of lapdogs with the complexity of ancient, aristocratic hounds. Bred for centuries to be doting companions and jesters, these high-stepping charmers refuse to be ignored. “On the whole,” writes an IG expert, “the breed would much rather be in your lap or bed than on the floor.” They are, though, true sighthounds and will bolt after quick-moving prey at the drop of a cat. A short-coat, low-fat breed, IGs require extra care in cold weather A true Greyhound in miniature, the elegant Italian Greyhound is an alert, playful, and highly affectionate toy companion. IGs make decorative couch dogs, but at heart they are flash-and-dash coursing hounds with an instinct for pursuit.",low,"Playful, Alert, Sensitive",Occasional Bath/Brush,Seasonal,Regular Exercise,Independent,Aloof/Wary,small
cavalier king charles spaniel,15,5,5,4,3,3,3,71,"The Cavalier’s all-around beauty, regal grace, and even temper mark him as one of dogdom’s noblemen. A toy spaniel no more than 13 inches high, the Cavalier draws you in with his face: The sweet, gentle, melting expression emanating from large, round eyes is a breed hallmark. Another is the silky, richly-colored coat that can be one of four distinct varieties.Cavaliers may be aristocrats, but they gladly descend from their royal high horse for a backyard frolic or a squirrel chase. They get along nicely with children and other dogs. Adaptable Cavaliers do equally well with active owners and homebodies—they can be upbeat athletes or shameless couch potatoes, depending on an owner’s lifestyle. The Cavalier King Charles Spaniel wears his connection to British history in his breed’s name. Cavaliers are the best of two worlds, combining the gentle attentiveness of a toy breed with the verve and athleticism of a sporting spaniel.",very low,"Affectionate, Gentle, Graceful",Weekly Brushing,Occasional,Calm,Eager to Please,Friendly,small
alaskan malamute,14,3,3,3,3,4,3,9,"The Alaskan Malamute stands 23 to 25 inches at the shoulder and weighs 75 to 85 pounds. Everything about Mals suggests their origin as an arctic sled dog: The heavy bone, deep chest, powerful shoulders, and dense, weatherproof coat all scream, “I work hard for a living!” But their almond-shaped brown eyes have an affectionate sparkle, suggesting Mals enjoy snuggling with their humans when the workday is done. Mals are pack animals. And in your family “pack,” the leader must be you. If a Mal doesn’t respect you, he will wind up owning you instead of the other way around. Firm but loving training should begin in early puppyhood. That said, a well-behaved Mal is a joy to be with—playful, gentle, friendly, and great with kids. An immensely strong, heavy-duty worker of spitz type, the Alaskan Malamute is an affectionate, loyal, and playful but dignified dog recognizable by his well-furred plumed tail carried over the back, erect ears, and substantial bone.",low,"Affectionate, Loyal, Playful",2-3 Times a Week Brushing,Seasonal,Energetic,Independent,Friendly,medium-small
australian cattle dog,16,3,3,3,3,4,1,21,"Standing between 17 to 20 inches at the shoulder, the Australian Cattle Dog is a sturdy, hard-muscled herder of strength and agility. The ACD is born with a white coat that turns blue-gray or red. Both coat varieties feature distinctive mottling or specking patterns. ACDs have immense work drive and excel at hunting, chasing, and, of course, moving livestock. Their boundless energy and supple gait make them excellent running partners.ACDs are true-blue loyal, famously smart, ever alert, and wary of strangers. If an ACD isn’t challenged, he easily becomes bored and gets into mischief. It is recommended that ACD owners participate with their dog in some work, sport, or regular exercise to keep him mentally and physically fit. The compact but muscular Australian Cattle Dog, also called Blue Heeler or Queensland Heeler, is related to Australia’s famous wild dog, the Dingo. These resilient herders are intelligent enough to routinely outsmart their owners.",low,"Alert, Curious, Pleasant",Occasional Bath/Brush,Regularly,Needs Lots of Activity,May be Stubborn,Reserved with Strangers,small
miniature pinscher,16,3,4,3,4,5,5,167,"Min Pins are sturdy, compact dogs standing no more than 12.5 inches at the shoulder. The smooth, shiny coat comes in two shades of solid red, or chocolate-and-rust or black-and-rust. The dark, slightly oval eyes and high-set ears help bring out a self-possessed, “big dog” personality. A distinguishing characteristic is the Min Pin’s high-stepping “hackney” gait, reminiscent of a hackney horse at the trot. The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait.",low,"Fearless, Fun-Loving, Proud",Occasional Bath/Brush,Infrequent,Regular Exercise,Independent,Alert/Responsive,small
belgian malinois,16,3,3,3,3,4,3,36,"Belgian Malinois are squarely built, proud, and alert herders standing 22 to 26 inches. Strong and well-muscled, but more elegant than bulky, there’s an honest, no-frills look about them, as befit dogs built to work hard for their feed. A breed hallmark is the proud carriage of the head. Coat colors range from a rich fawn to mahogany. The black ears and mask accentuate bright, questioning eyes the color of dark Belgian chocolate.If you have ever seen a Mal perform an obedience routine, you know firsthand what a smart and eager breed this is. Problems set in, though, when this people-oriented dog is underemployed and neglected. Exercise, and plenty of it, preferably side by side with their adored owner, is key to Mal happiness. The smart, confident, and versatile Belgian Malinois is a world-class worker who forges an unbreakable bond with his human partner. To deny a Mal activity and the pleasure of your company is to deprive him of his very reasons for being.",low,"Confident, Smart, Hardworking",Weekly Brushing,Seasonal,Energetic,Easy Training,Reserved with Strangers,medium-small
staffordshire bull terrier,14,5,3,4,4,5,3,238,"At 14 to 16 inches, Staffordshire Bull Terriers do not stand particularly tall. But, weighing anywhere between 24 to 38 pounds, they pour a gallon of dog into a quart-size container. These are rock-solid, muscular terriers. The head is short and broad, with pronounced cheek muscles, and the tight-fitting coat comes in several colors.Staffordshire Bull Terriers still resemble the pugnacious brawlers who once ruled England’s fighting pits. But today’s responsible breeders are producing sweet-natured, family-oriented dogs with a reputation for being patient with kids. These are true-blue loyal companions, but the old fighting instinct still lurks within—making it vital that pups be socialized with other dogs to learn good canine manners. From his brawling past, the muscular but agile Staffordshire Bull Terrier retains the traits of courage and tenacity. Happily, good breeding transformed this former gladiator into a mild, playful companion with a special feel for kids.",medium,"Clever, Brave, Tenacious",Weekly Brushing,Occasional,Energetic,May be Stubborn,Friendly,small
american staffordshire terrier,16,3,3,4,3,5,3,16,"AmStaffs are stocky, muscular bull-type terriers standing 17 to 19 inches at the shoulder. The head is broad, the jaws well defined, the cheekbones pronounced, and the dark, round eyes are set wide apart. AmStaff movement is agile and graceful, with a springy gait that advertises the breed’s innate confidence. The stiff, glossy coat comes in many colors and patterns. AmStaffers describe their dogs as keenly aware of their surroundings, game for anything, and lovable “personality dogs” around the house. AmStaffs like mental and physical challenges. They are highly trainable, as their many forays into showbiz suggest. When acquiring an AmStaff, there’s only one way to go: Do your homework and find a responsible AKC breeder. The American Staffordshire Terrier, known to their fans as AmStaffs, are smart, confident, good-natured companions. Their courage is proverbial. A responsibly bred, well-socialized AmStaff is a loyal, trustworthy friend to the end.",medium,"Confident, Smart, Good-Natured",Occasional Bath/Brush,Occasional,Regular Exercise,Agreeable,Alert/Responsive,medium-small
australian shepherd,15,5,3,3,4,3,3,23,"The Australian Shepherd, the cowboy’s herding dog of choice, is a medium-sized worker with a keen, penetrating gaze in the eye. Aussie coats offer different looks, including merle (a mottled pattern with contrasting shades of blue or red). In all ways, they’re the picture of rugged and agile movers of stock. Aussies exhibit an irresistible impulse to herd, anything: birds, dogs, kids. This strong work drive can make Aussies too much dog for a sedentary pet owner. Aussies are remarkably intelligent, quite capable of hoodwinking an unsuspecting novice owner. In short, this isn’t the pet for everyone. But if you’re looking for a brainy, tireless, and trainable partner for work or sport, your search might end here. The Australian Shepherd, a lean, tough ranch dog, is one of those “only in America” stories: a European breed perfected in California by way of Australia. Fixtures on the rodeo circuit, they are closely associated with the cowboy life.",very low,"Smart, Work-Oriented, Exuberant",Weekly Brushing,Seasonal,Energetic,Eager to Please,Alert/Responsive,medium-small
pembroke welsh corgi,13,3,4,4,4,5,4,184,"At 10 to 12 inches at the shoulder and 27 to 30 pounds, a well-built male Pembroke presents a big dog in a small package. Short but powerful legs, muscular thighs, and a deep chest equip him for a hard day’s work. Built long and low, Pembrokes are surprisingly quick and agile. They can be red, sable, fawn, and black and tan, with or without white markings.The Pembroke is a bright, sensitive dog who enjoys play with his human family and responds well to training. As herders bred to move cattle, they are fearless and independent. They are vigilant watchdogs, with acute senses and a “big dog” bark. Families who can meet their bold but kindly Pembroke’s need for activity and togetherness will never have a more loyal, loving pet. Among the most agreeable of all small housedogs, the Pembroke Welsh Corgi is a strong, athletic, and lively little herder who is affectionate and companionable without being needy. They are one of the world's most popular herding breeds.",very low,"Affectionate, Smart, Alert",Weekly Brushing,Regularly,Energetic,Agreeable,Outgoing,small
yorkshire terrier,15,5,3,5,4,5,4,264,"The Yorkshire Terrier is a compact, toy-size terrier of no more than seven pounds whose crowning glory is a floor-length, silky coat of steel blue and a rich golden tan.Don’t let the Yorkie’s daintiness fool you. Tenacious, feisty, brave, and sometimes bossy, the Yorkie exhibits all the traits of a true terrier. Often named the most popular dog breed in various American cities, Yorkies pack lots of big-town attitude into a small but self-important package. They are favorites of urbanites the world over.Yorkies are long-lived and low-allergen (the coat is more like human hair than animal fur), and they make fine little watchdogs. This is a true “personality breed,” providing years of laughs, love, and close companionship. Beneath the dainty, glossy, floor-length coat of a Yorkshire Terrier beats the heart of a feisty, old-time terrier. Yorkies earned their living as ratters in mines and mills long before they became the beribboned lapdogs of Victorian ladies.",very low,"Affectionate, Sprightly, Tomboyish",Specialty/Professional,Infrequent,Regular Exercise,May be Stubborn,Friendly,small
french bulldog,12,5,4,5,5,3,1,113,"The French Bulldog resembles a Bulldog in miniature, except for the large, erect “bat ears” that are the breed’s trademark feature. The head is large and square, with heavy wrinkles rolled above the extremely short nose. The body beneath the smooth, brilliant coat is compact and muscular.The bright, affectionate Frenchie is a charmer. Dogs of few words, Frenchies don’t bark much—but their alertness makes them excellent watchdogs. They happily adapt to life with singles, couples, or families, and do not require a lot of outdoor exercise. They get on well with other animals and enjoy making new friends of the human variety. It is no wonder that city folk from Paris to Peoria swear by this vastly amusing and companionable breed. The one-of-a-kind French Bulldog, with his large bat ears and even disposition, is one of the world’s most popular small-dog breeds, especially among city dwellers. The Frenchie is playful, alert, adaptable, and completely irresistible.",very low,"Adaptable, Playful, Smart",Occasional Bath/Brush,Regularly,Calm,Agreeable,Alert/Responsive,small
